episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
49,default,91,0,-1,0,2,-152.1247,23.6126,-0.0018,0.0000,-0.1084,0.1632,0.0000,0.0000,0.1828,0.0000,0.0000,0.7630,8.554995,-2.787472,1.9560,3.0659,3.0659,0.0000,0.0000
50,default,88,0,-1,0,2,-178.9530,20.2242,-0.0013,0.0000,-0.1325,0.1489,0.0000,0.0000,0.4465,0.0000,0.0000,0.7585,8.099566,-2.610768,1.8864,3.2727,3.2727,0.0000,0.0000
51,default,90,0,-1,0,2,-182.1954,38.7673,-0.0010,0.0000,-0.0529,0.1638,0.0000,0.0000,0.4221,0.0000,0.0000,0.8016,9.196093,-2.661249,1.9556,3.0667,3.0667,0.0000,0.0000
52,default,51,1,2,2,0,117.8488,-17.0933,0.0004,0.2941,-0.1485,0.1300,0.0000,0.0000,0.3912,0.0000,0.0000,0.7454,7.071508,-2.599072,1.8235,3.4118,3.4118,0.0000,0.0000
53,default,88,0,-1,0,2,-147.5872,27.2838,-0.0018,0.0000,-0.0967,0.1584,0.0000,0.0000,0.1917,0.0000,0.0000,0.7795,8.827597,-2.809318,1.9545,3.0682,3.0682,0.0000,0.0000
54,default,250,0,1,1,0,-287.2181,-346.1936,-0.0001,0.0200,-0.0188,0.0245,0.0000,0.0000,0.4760,0.0000,0.0000,0.2809,9.586214,-3.055822,1.3200,5.0280,5.0280,0.0000,0.0000
55,default,90,0,-1,0,2,-134.7645,33.5358,-0.0017,0.0000,-0.0597,0.1671,0.0000,0.0000,0.0337,0.0000,0.0000,0.8269,9.033293,-3.510190,1.8778,3.3000,3.3000,0.0000,0.0000
56,default,250,0,-1,0,1,-338.1962,-259.6240,-0.0008,0.0000,-0.0116,0.0465,0.0000,0.0000,0.0215,0.0000,0.0000,0.4246,7.231435,-3.719570,1.3480,4.9440,4.9440,0.0000,0.0000
57,default,80,0,-1,0,2,-119.1582,21.1846,-0.0021,0.0000,-0.1322,0.1641,0.0000,0.0000,0.0079,0.0000,0.0000,0.7596,4.286161,-3.140486,1.9750,3.0000,3.0000,0.0000,0.0000
58,default,250,0,-1,0,1,-347.2047,-262.6234,-0.0007,0.0000,-0.0334,0.0453,0.0000,0.0000,0.1602,0.0000,0.0000,0.3333,4.003005,-3.077154,1.3560,4.9200,4.9200,0.0000,0.0000
59,default,87,0,-1,0,2,-133.0543,25.3103,-0.0014,0.0000,-0.1039,0.1513,0.0000,0.0000,0.1575,0.0000,0.0000,0.8062,3.922115,-3.475325,1.9195,3.1724,3.1724,0.0000,0.0000
60,default,250,0,-1,0,1,-359.6750,-81.1362,-0.0011,0.0000,0.0379,0.0622,0.0000,0.0000,0.1618,0.0000,0.0000,0.7541,3.883840,-3.640245,1.3560,4.9200,4.9200,0.0000,0.0000
61,default,250,0,-1,0,1,-307.8441,-285.9387,-0.0003,0.0000,-0.0082,0.0394,0.0000,0.0000,0.1699,0.0000,0.0000,0.5052,4.188524,-3.233737,1.3320,4.9920,4.9920,0.0000,0.0000
62,default,86,0,-1,1,1,-64.4066,36.8883,-0.0012,0.0581,0.0129,0.1145,0.0000,0.0000,0.0294,0.0000,0.0000,0.8585,3.053428,-3.418040,1.2442,5.1977,5.1977,0.0000,0.0000
63,default,90,0,-1,0,2,-127.1818,53.2069,-0.0012,0.0000,-0.0119,0.1852,0.0000,0.0000,0.0225,0.0000,0.0000,0.8361,2.528627,-3.490224,1.9333,3.1333,3.1333,0.0000,0.0000
64,default,88,0,-1,0,2,-137.3228,48.9020,-0.0011,0.0000,-0.0112,0.1735,0.0000,0.0000,0.1471,0.0000,0.0000,0.8361,3.028793,-3.621019,1.9091,3.2045,3.2045,0.0000,0.0000
65,default,250,0,0,0,0,-267.2118,-215.3379,-0.0007,0.0000,0.0883,0.0600,0.0000,0.0000,0.2023,0.0000,0.0000,0.7567,3.018417,-3.971256,2.0000,3.0000,3.0000,0.0000,0.0000
66,default,85,0,-1,1,1,-75.3858,29.9824,-0.0012,0.0588,-0.0254,0.1174,0.0000,0.0000,0.0157,0.0000,0.0000,0.8866,3.470655,-3.937209,1.2824,5.0824,5.0824,0.0000,0.0000
67,default,250,0,-1,0,1,-302.8482,-286.7985,-0.0005,0.0000,-0.0007,0.0387,0.0000,0.0000,0.0113,0.0000,0.0000,0.5037,3.700795,-4.267718,1.3360,4.9800,4.9800,0.0000,0.0000
68,default,88,0,-1,1,1,-75.0044,23.5172,-0.0010,0.0568,-0.0234,0.1016,0.0000,0.0000,0.0226,0.0000,0.0000,0.8153,2.512682,-4.206014,1.2386,5.2159,5.2159,0.0000,0.0000
69,default,85,0,-1,0,2,-138.3125,38.1503,-0.0010,0.0000,-0.0431,0.1704,0.0000,0.0000,0.1368,0.0000,0.0000,0.8386,3.559120,-4.668777,1.9647,3.0353,3.0353,0.0000,0.0000
70,default,87,0,-1,0,2,-131.6012,47.4061,-0.0010,0.0000,-0.0366,0.1826,0.0000,0.0000,0.0333,0.0000,0.0000,0.8642,3.868636,-4.930724,1.9540,3.0690,3.0690,0.0000,0.0000
71,default,250,0,-1,0,1,-333.6022,-76.1859,-0.0008,0.0000,0.0393,0.0595,0.0000,0.0000,0.2037,0.0000,0.0000,0.7622,3.950460,-4.690805,1.3240,5.0160,5.0160,0.0000,0.0000
