episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
96,default,250,0,0,0,0,-9.9420,-429.9963,-0.0001,0.0000,0.0617,0.0313,0.0000,0.0000,0.0180,0.0000,0.0000,0.5628,0.671699,-8.883202,2.0000,0.2600,5.7400,2.7400,0.2720
97,default,250,0,0,0,0,-15.9069,-431.1095,-0.0002,0.0000,0.0664,0.0290,0.0000,0.0000,0.0109,0.0000,0.0000,0.4741,0.660328,-8.774408,2.0000,0.1680,5.8320,2.8320,0.2680
98,default,250,0,0,0,0,-13.2487,-436.2466,-0.0002,0.0000,0.0675,0.0266,0.0000,0.0000,0.0105,0.0000,0.0000,0.4353,0.626693,-8.637552,2.0000,0.2040,5.7960,2.7960,0.2560
99,default,250,0,0,0,0,-6.8188,-430.4348,-0.0001,0.0000,0.0562,0.0301,0.0000,0.0000,0.0107,0.0000,0.0000,0.4516,0.658102,-8.617688,2.0000,0.2960,5.7040,2.7040,0.2960
100,default,250,0,0,0,0,-8.5264,-419.2983,-0.0000,0.0000,0.0839,0.0316,0.0000,0.0000,0.0317,0.0000,0.0000,0.3886,0.765067,-8.716903,2.0000,0.4480,5.5520,2.5520,0.2680
101,default,61,1,2,2,0,150.3181,-1.2894,0.0009,0.2459,-0.0475,0.1177,0.0000,0.0000,0.0600,0.0000,0.0000,0.8573,1.230825,-8.816812,1.3934,3.9180,5.5246,0.8033,1.0164
102,default,250,0,1,1,0,68.4612,-112.6504,-0.0003,0.0400,0.0820,0.0345,0.0000,0.0000,0.0199,0.0000,0.0000,0.6016,3.827792,-8.907568,1.1480,5.0880,6.0000,0.4560,0.9800
103,default,250,0,1,1,0,68.6546,-108.7950,-0.0002,0.0400,0.0787,0.0365,0.0000,0.0000,0.0201,0.0000,0.0000,0.6083,3.702706,-8.947047,1.1560,5.0880,5.9520,0.4320,0.9800
104,default,250,0,0,0,0,-7.0229,-404.6441,-0.0000,0.0000,0.0761,0.0362,0.0000,0.0000,0.0558,0.0000,0.0000,0.4056,3.816096,-8.827927,2.0000,0.0520,5.9480,2.9480,0.1520
105,default,250,0,0,0,0,-5.9828,-424.1932,0.0001,0.0000,0.0760,0.0335,0.0000,0.0000,0.0713,0.0000,0.0000,0.4689,4.525023,-8.781651,2.0000,0.5640,5.4360,2.4360,0.1560
106,default,250,0,1,1,0,67.0542,-108.7163,-0.0004,0.0400,0.0828,0.0303,0.0000,0.0000,0.0244,0.0000,0.0000,0.6239,3.923215,-8.680875,1.0840,5.4800,5.9920,0.2560,0.9800
107,default,250,0,0,0,0,-5.8545,-429.1554,0.0001,0.0000,0.0918,0.0294,0.0000,0.0000,0.0925,0.0000,0.0000,0.5784,4.147958,-8.555829,2.0000,0.0680,5.9320,2.9320,0.0440
108,default,250,0,0,0,0,-6.7122,-422.1797,0.0000,0.0000,0.0833,0.0334,0.0000,0.0000,0.0423,0.0000,0.0000,0.4607,3.294724,-8.432016,2.0000,0.0000,6.0000,3.0000,0.0680
109,default,250,0,0,0,0,-6.5914,-422.1805,-0.0000,0.0000,0.0860,0.0321,0.0000,0.0000,0.0741,0.0000,0.0000,0.4129,1.543247,-8.307497,2.0000,0.0000,6.0000,3.0000,0.0600
110,default,250,0,0,0,0,-7.4530,-422.4703,-0.0000,0.0000,0.0924,0.0295,0.0000,0.0000,0.0636,0.0000,0.0000,0.4354,1.239342,-8.211317,2.0000,0.6480,5.3520,2.3520,0.1760
111,default,250,0,0,0,0,-16.2675,-400.2674,-0.0004,0.0000,0.0749,0.0369,0.0000,0.0000,0.0487,0.0000,0.0000,0.4086,1.254232,-8.147036,2.0000,0.0320,5.9680,2.9680,0.1560
112,default,250,0,0,0,0,-10.5991,-422.6217,0.0000,0.0000,0.0867,0.0315,0.0000,0.0000,0.0806,0.0000,0.0000,0.4075,1.115781,-8.045527,2.0000,0.2560,5.7440,2.7440,0.1400
113,default,250,0,0,0,0,-6.9259,-428.4752,0.0000,0.0000,0.0809,0.0300,0.0000,0.0000,0.0712,0.0000,0.0000,0.4111,0.582742,-8.006216,2.0000,0.5120,5.4880,2.4880,0.2040
114,default,250,0,1,1,0,65.9117,-112.8180,-0.0006,0.0400,0.0801,0.0336,0.0000,0.0000,0.0324,0.0000,0.0000,0.6022,1.190642,-7.946429,1.1400,5.1360,6.0000,0.4320,0.9800
115,default,250,0,1,1,0,40.8152,-295.5684,0.0002,0.0400,0.0741,0.0320,0.0000,0.0000,0.1457,0.0000,0.0000,0.5569,1.309913,-7.907088,1.6160,2.7200,5.5600,1.4200,0.4600
